target,description
administracja,studia kierunku administracja celu przygotowanie wykonywania pracy organach państwa samorządu terytorialnego studenci zgłębiają problematykę ściśle związaną sferą działalności administracji publicznej poznają podstawowe dyscypliny wiedzy prawniczej kształcenie kierunkach administracyjnych pozwala uzyskać kompetencje przydatne poruszania problematyce administracji publicznej samorządowej stosowania prawa dziedzinie administracji wykorzystywania technologii informatycznych narzędzi internetowych niezbędnych funkcjonowaniu urzędów administracji publicznej posługiwania elektronicznym systemem obiegu dokumentów uwzględnianiem przepisów prawa dotyczących ochrony danych osobowych studia dwustopniowe licencjackie magisterskie przykładowe specjalności ramach kierunku studia administracji wybierają osoby przyszłości planują pracę organach państwa samorządu terytorialnego administracji podmiotów gospodarczych program studiów kierunku administracja przewiduje przedmioty historia administracji logika prawnicza nauka państwie polityce organizacja zarządzanie administracji podstawy prawoznawstwa instytucje prawo ue prawa człowieka system ochrony postępowanie administracyjne publiczne prawo gospodarcze materialne prawo podatkowe ustrój zadania samorządu terytorialnego zarządzanie projektami sektorze publicznym prawo wyborcze tworzenie prawa administracyjnego
administracja europejska,studia kierunku administracja europejska przygotowują działalności strukturach administracji publicznej szczebla lokalnego instytucje europejskie międzynarodowe studenci wyboru dwóch modułów specjalizacyjnych pierwszy proponowanych modułów wyposaża studenta wiedzę zakresu zarządzania strategicznego przygotowuje realizacji projektów europejskich student zdobywa szeroką wiedzę związaną zagadnieniami dotyczącymi prawa budowlanego spółdzielczego ochrony konkurencji konsumentów gospodarki nieruchomościami zarządzania przestrzennego zajęcia ramach drugiego modułu przygotowują sprawnego poruszania dziedzinie prawa europejskiego ochrony praw człowieka funkcjonowania europejskich instytucji administracyjnych studia stopnia trybie niestacjonarnym prowadzone ramach indywidualnego toku studiów studia adresowane osób intersujących zagadnieniami zawiązanymi integracją europejską wiążących swoją przyszłość zawodową działalnością różnych instytucjach życia publicznego zarówno gruncie krajowym międzynarodowym programie studiów znajdziemy przedmioty wstęp prawoznawstwa historia administracji podstawy ekonomii podstawy statystyki demografii prawo konstytucyjne techniki komunikacji negocjacji prawo cywilne umowami administracji prawo międzynarodowe publiczne podstawy prawa karnego prawo gospodarcze publiczne prawo unii europejskiej polskie europejskie prawo samorządu terytorialnego prawo pracy elementami prawa europejskiego prawo finansowe finansów publicznych
administracja i cyfryzacja,kierunek administracja cyfryzacja charakter innowacyjny łączący wiedzę typową nauk prawnych informatyką studenci nabywają praktyczne umiejętności zakresie stosowania stanowienia prawa administracji publicznej umiejętności zakresie wykorzystywania technologii teleinformatycznych pracy urzędnika obowiązkowe praktyki realizowane znacznym wymiarze godzin sądach prokuraturze kancelariach prawnych administracji publicznej przedsiębiorstwach państwowych prywatnych służą zdobyciu doświadczenia zawodowego kierunek administracja cyfryzacja wpisuje potrzebę rozwoju technologicznego państwa kształcenia kadry urzędniczej świadomie wykorzystującej technologie teleinformatyczne kierunek odpowiedni osób zainteresowanych nowoczesnymi technologiami wykorzystaniem administracji przykładowe przedmioty kierunku administracja cyfryzacja prawo karne urzędników logika prawnicza prawo cywilne umowami administracji wstęp informatyki programy użytkowe etyka urzędnika prawo unii europejskiej prawo wyznaniowe technologie teleinformatyczne techniki negocjacji mediacji prawo międzynarodowe publiczne cyberbezpieczeństwo administracji podstawy psychologii zamówienia publiczne ergonomia ochrona własności intelektualnej sądowa ochrona praw człowieka zarys procesu karnego europejskie prawo gospodarcze sieci komputerowe bezpieczeństwo sieci komputerowych
administracja i polityka publiczna,administracja polityka publiczna kierunek studiów daje możliwość zdobycia wiedzy umiejętności zakresu polityki publicznej administracji zdobyte czasie studiów wiedza umiejętności wraz rozwijanymi kompetencjami społecznymi przygotowują absolwenta przyszłej samodzielnej pracy instytucjach administracji państwowej samorządowej wymagających przygotowania działań zakresu szeroko rozumianej administracji publicznej rzecz organizacji pozarządowych struktura studiów kierunku administracja polityka publiczna umożliwia kształcenie systemie stacjonarnym niestacjonarnym studiach pierwszego stopnia licencjackich systemie niestacjonarnym zajęcia odbywają soboty administracja polityka publiczna kierunek osób skrupulatnych dokładnych uporządkowanych odpowiedzialnych trudu przyswajających zmieniające przepisy prawa programie studiów przedmioty podstawy zarządzania administracji komunikacja społeczna historia myśli społecznej integracja europejska metody analizy polityk publicznych postępowanie administracyjne polityka gospodarcza zamówienia publiczne finanse publiczne przywództwo decyzje polityczne historia instytucji politycznych
administracja i zarządzanie,międzykierunkowe studia administracji zarządzaniu okazja zdobycia wiedzy umiejętności oferują kierunki administracja pozwala zgłębienie wiedzy dotyczącej społecznej gospodarczej sfery życia publicznego zapoznanie regulacjami prawnymi praktycznym zastosowaniem kolei zarządzanie wyposaży studentów wiedzę dotyczącą funkcjonowania współczesnych przedsiębiorstw instytucji gospodarczych administracyjnych pozwoli posiąść umiejętność kierowania organizacjami różnych typów kierunki administracyjne dobra propozycja osób dokładnych cierpliwych uporządkowanych systematycznych studenci realizujący studia makrokierunku administracja zarządzanie poznają zarządzanie projektami zarządzanie zasobami ludzkimi informatykę zarządzaniu marketing rachunkowość finansową finanse przedsiębiorstw prawoznawstwo konstytucyjny system organów państwa postępowanie administracyjne publiczne prawo gospodarcze podstawy prawa cywilnego umowami administracji prawo pracy prawo urzędnicze finanse publiczne prawo finansowe ustrój samorządu terytorialnego prawo ustrojowe unii europejskiej prawo zamówień publicznych techniki negocjacji mediacji administracji podstawy prawa karnego prawa wykroczeń
administracja i zarządzanie publiczne,kierunek mający gwarantować przyszłym absolwentom wiedzę umiejętności pozwalające znalezienie pracy szeroko pojętej administracji publicznej prywatnej studenci zdobywają wiedzę dyscyplin nauk polityce administracji zakresu reguł demokratycznego państwa prawnego zakresu procesu podejmowania decyzji politycznych poznają reguły funkcjonowania nowoczesnej inteligentnej sprawnej administracji publicznej wykorzystującej technologie komunikacyjne informacyjne komunikowania otoczeniem gospodarczym społecznym oferowane ramach kierunku specjalności studia skierowane osób pragnących zdobywać wiedzę praktyczne umiejętności obszarze administracji zarówno publicznej prywatnej rządowej samorządowej współpracujących instytucji otoczenia gospodarczego społecznego przykładowe przedmioty kierunku historia administracji nauka administracji podstawy prawa system polityczny rp podstawy ekonomii zarządzanie publiczne administracja publiczna polsce finanse publiczne prawo instytucje ue teoria praktyka współrządzenia kontrola administracji
administracja publiczna,studenci kierunku zdobywają wiedzę dotyczącą zasad funkcjonowania ustroju konstytucyjnego państwa poznają kompetencje poszczególnych organów konstytucyjnych funkcjonowanie państwa podmiotu prawa międzynarodowego członka unii europejskiej przygotowują pracy administracji publicznej poznając język urzędowy publiczne prawo bankowe prawo ubezpieczeń gospodarczych prawo międzynarodowe zasady finansowania zarządzania jednostek samorządowych studia stopnia prowadzone trybie stacjonarnym niestacjonarnym studia ii stopnia trybie stacjonarnym studia kierunku propozycja osób dostrzegają duży potencjał instytucjach rządowych samorządowych wiążą swoja karierę zawodową działalnością publiczną najistotniejsze przeraża praca przepisami paragrafami ustawami dokumentami programie studiów znajdziemy przedmioty historia administracji konstytucyjny system organów państwowych prawo międzynarodowe publiczne ustrój organów ochrony prawnej wstęp prawoznawstwa instytucje źródła prawa ue konstytucyjny system organów państwowych podstawy mikroekonomii prawo cywilne umowami administracji prawo międzynarodowe publiczne stosunki międzynarodowe część ogólna prawa administracyjnego finanse publiczne prawo finansowe postępowanie administracyjne publiczne prawo gospodarcze zarys prawa handlowego podstawy prawa rolnego
administracja publiczna i komunikowanie społeczne,studia kierunku administracja publiczna komunikowanie społeczne obejmują zagadnienia zakresu administracji funkcjonowania instytucji publicznych prywatnych zasad ustroju konstytucyjnego państwa organów władzy centralnej terenowej samorządowej ogólnych zasad prawnych formach działania podmiotów administrujących duży nacisk położony potrzebę tworzenia wspierania kultury samorządzie podjęcia działań proekologicznych współpracy organizacjami pozarządowymi dostępne moduły specjalnościowe studia administracyjne propozycja osób uporządkowanych dokładnych cierpliwych programie studiów znajdują zagadnienia zakresu nauk społecznych procesów zachodzących społeczeństwie historii podstaw ekonomii prawa public relations administracji publicznej instytucjonalnego poznają kanały komunikacji nabędą umiejętności wykorzystywania social media celach promocyjnych sprzedażowych
administracyjno-ekonomiczne studia,studia kierunek ii stopnia kształtujący umiejętności administrowania zarządzania zespołami ludzkimi uczelnie oferują następujące specjalizacje ukończenie kierunku pozwala znaleźć miejsce dużych organizacjach biznesowych średnich małych przedsiębiorstwach własnym mikroprzedsiębiorstwie ukończone studia wyższe zakresie atutem administracji publicznej postępowaniach konkursowych wszelkich indywidualnych aplikacjach kierunek przebojowych dynamicznych osób boją kontaktu innymi ludźmi umieją nawiązywać dobre relacje interpersonalne wykazują asertywnością liczne specjalności pozwalają utworzyć indywidualny tok nauczania każdego studenta
administration in international organization,administration in international organizations administracja organizacjach międzynarodowych studia magisterskie oferowane wydział prawa administracji ekonomii uniwersytetu wrocławskiego zajęcia prowadzone języku angielskim organizacje międzynarodowe stały współczesnym świecie niezbędne sprawnego funkcjonowania administracji publicznej pracowników program studiów oferuje możliwość zdobycia szerokiej wiedzy temat organizacji środowiska międzynarodowego kierunek osób czują międzynarodowym towarzystwie chcą znaleźć pracę wykraczającą granice polski władają językiem angielskim stopniu umożliwiającym zrozumienie treści wykładów przedmioty jakimi musieli poradzić studenci kierunku administrative procedures comparative constitutional law english language for administration and public law human resource management legal language polish language for foreigners political and legal thought public international law administration and administrative law of the european union institutional law of the european union international protection of human rights law of international organizations polish language for foreigners english for private law ethics in public administration intellectual property protection judicial protection in the european union public competition law
